Code,Address,Tell,X,Y
15064,인천광역시 연수구 송도동 8-21 번지 지하1층,1544-1122,126.6419099,37.3840795
15063,인천광역시 남구 학익동 401-21 번지,,126.6518155,37.44559859
15062,인천광역시 중구 중산동 1883-12 번지 3층 롯데시네마 영종하늘도시,,126.5614055,37.48974115
15061,인천광역시 중구 운서동 3088-3 번지 예스타워 영종 7~9층,02-1544-0070,126.4987902,37.49227814
15059,인천광역시 서구 경서동 953-7 번지 3층 305호,032-721-5660,126.6652381,37.55691045
15058,인천광역시 남구 관교동 15 번지 지하1층 롯데시네마,,126.7013298,37.4414179
15057,인천광역시 서구 청라동 165-12 번지 지젤M청라 4층 메가박스 청라지젤,1544-0070,126.655713,37.5336864
15056,인천광역시 연수구 청학동 496-4 번지 연수광장프라자 8층,1544-1122,126.6771125,37.4177322
15055,인천광역시 연수구 송도동 176-5 번지 트리플 스트리트 D동 2층,02-1544-0070,126.6628383,37.37865144
15054,인천광역시 서구 연희동 378 번지,02-1544-8855,126.6639594,37.5465308
15052,인천광역시 남동구 논현동 747-1 번지 라피에스타 6층,1544-0070,126.7274142,37.39740566
15051,인천광역시 서구 당하동 1098-5 번지 홀리랜드 4층 메가박스 검단,032-565-5660,126.6754054,37.58795188
15050,인천광역시 강화군 강화읍 239 번지 강화문예회관 2층,032-934-7717,126.4738959,37.74602579
15044,인천광역시 동구 송현동 92-7 번지,032-764-6920,126.6343331,37.47550489
15043,인천광역시 연수구 동춘동 926 번지 스퀘어원 쇼핑몰 4층,1544-1122,126.6837028,37.40597858
15039,인천광역시 남동구 논현동 646-2 번지 4층,1544-1122,126.7085895,37.40225863
15036,"인천광역시 부평구 부평동 738-21 번지 7,8층",1544-8855,126.7226868,37.48967621
15035,인천광역시 남구 주안동 166-1 번지,032-867-9168,126.6806189,37.46127925
15024,인천광역시 계양구 작전동 899-1 번지 8~11층,1544-1122,126.7345167,37.53385243
15023,인천광역시 부평구 부평동 152-1 번지,1544-8855,126.7266177,37.49381019
15020,인천광역시 남구 주안동 30-1 번지 카라아울렛 6~10층,1544-1122,126.6803961,37.46554024
15019,인천광역시 부평구 청천동 386 번지 아이즈빌 3층 영화관사무실,1544-1122,126.7034894,37.52184419
15017,인천광역시 중구 경동 238 번지,032-761-7177,126.6298263,37.47235388
15010,인천광역시 부평구 부평동 534-27 번지,032-503-3330,126.7222943,37.49105482
15005,인천광역시 남동구 구월동 1130 번지 씨앤씨빌딩 4층,1544-1122,126.7018872,37.4519298
14020,울산광역시 동구 방어동 58-2 번지,052-232-8501,129.4309499,35.48988356
14018,울산광역시 울주군 범서읍 225-1 번지 INGG CINEPARK,052-246-1245,129.251903,35.5528042
14017,울산광역시 북구 신천동 51 번지 신천CGV LEEPLEX 6층,,129.3557544,35.63495988
14015,울산광역시 울주군 상북면 517 번지 영남알프스 복합웰컴센터,052-254-0267,129.0722273,35.60218291
14014,울산광역시 중구 성남동 256-24 번지,1544-8855,129.3205125,35.55316543
14013,울산광역시 남구 삼산동 1569-1 번지 업스퀘어 5층,1544-1122,129.338829,35.54196237
14012,울산광역시 북구 산하동 166-1 번지,052-298-6622,129.4313374,35.64026327
14009,울산광역시 중구 성남동 251-8 번지 2층,1544-0070,129.321087,35.55436205
14003,울산광역시 동구 서부동 110-1 번지,052-209-7812,129.4309786,35.52297793
14001,울산광역시 남구 삼산동 1480-1 번지,1544-8855,129.3383354,35.53844969
13039,대전광역시 대덕구 오정동 172-5 번지 3층,042-623-1623,127.4213985,36.35133468
13038,대전광역시 유성구 도룡동 3-1 번지 대전신세계아트앤사이언스 6층,1544-0070,127.3843147,36.37736166
13037,대전광역시 유성구 용산동 579 번지 현대프리미엄아울렛 대전점 3~4층,1544-0070,127.3986899,36.42390908
13036,대전광역시 중구 문화동 1-13 번지 기독교연합봉사회관 1층 1호,,127.4098094,36.32108013
13035,대전광역시 서구 관저동 1735 번지 디펠리체 5층 롯데시네마,02-1544-8855,127.3337162,36.30258788
13034,대전광역시 서구 가수원동 1042 번지,042-545-0038,127.350751,36.3054743
13033,대전광역시 중구 대흥동 205-1 번지 4층,1544-0070,127.4241232,36.32764974
13032,대전광역시 서구 둔산동 1279 번지,1544-8855,127.379419,36.35185284
13030,대전광역시 서구 탄방동 744 번지 세이탄방점 7층,,127.3888549,36.34717921
13029,대전광역시 유성구 지족동 905-4 번지 지족동 노은타운 7층,1544-1122,127.3185063,36.37254666
13028,대전광역시 서구 월평동 243 번지,1544-8855,127.3789323,36.36191306
13027,대전광역시 동구 가오동 557 번지 4층,1544-1122,127.4580201,36.30693719
13026,대전광역시 동구 용전동 63-3 번지,1544-1122,127.436638,36.35038339
13021,대전광역시 서구 오동 181-1 번지,042-863-0104,127.3174299,36.23184279
13019,대전광역시 동구 중동 27-11 번지 3층,042-472-1138,127.4304608,36.33013337
13017,대전광역시 서구 탄방동 746 번지 로데오타운 5층,1544-0070,127.3880059,36.34729915
13012,대전광역시 중구 문화동 1-16 번지 세이백화점 별관 6층,1544-1122,127.4089631,36.32101151
13007,대전광역시 서구 괴정동 423-1 번지,1544-8855,127.3895612,36.34062864
12058,대구광역시 달서구 죽전동 273-27 번지 골든타워 8~11층 CGV 대구죽전,1544-1122,128.5363531,35.85054214
12057,대구광역시 북구 칠성동2가 20-1 번지,1544-1122,128.5900898,35.88491473
12056,대구광역시 북구 연경동 1078-2 번지 4층 CGV극장,053-986-6200,128.6227998,35.94124552
12055,대구광역시 달성군 현풍면 중리 490 번지 4층 롯데시네마,,128.4548736,35.69320573
12054,대구광역시 동구 봉무동 1548 번지 메가맥스타워 2층,02-1544-0070,128.635488,35.92077495
12053,대구광역시 중구 국채보상로 547 (종로1가),1544-8855,128.5904144,35.87095209
12051,대구광역시 동구 신천동 1506 번지 신세계백화점 8층,1544-0070,128.6289974,35.8778437
12050,대구광역시 달서구 월성동 1846 번지 이래타워 4층,053-609-3005,128.5270827,35.82456727
12048,대구광역시 달서구 상인동 241 번지,1544-8855,128.5392746,35.81644718
12047,대구광역시 중구 수동 1-6 번지 1층,053-425-3553,128.5893719,35.87071898
12045,대구광역시 중구 남일동 65-1 번지 아카데미시네마 3층-8층,1544-1122,128.5941982,35.86992985
12044,대구광역시 수성구 범물동 1273 번지,1544-1122,128.6406456,35.82124832
12043,대구광역시 중구 동성로2가 88-22 번지 엑슨밀라노 7층,1544-1122,128.5953217,35.8704569
12042,대구광역시 서구 내당동 463-62 번지 M프라자4층,1544-8855,128.5507765,35.85569898
12035,대구광역시 중구 계산동2가 200 번지 지하2층 (계산동2가),1544-1122,128.5905923,35.86674768
12034,대구광역시 수성구 대흥동 504 번지,1544-1122,128.6866383,35.8297517
12033,대구광역시 동구 봉무동 1545 번지,1544-1533,128.6371292,35.92156248
12032,대구광역시 동구 율하동 1117 번지,1544-8855,128.693367,35.86860224
12031,"대구광역시 북구 구암동 769-1 번지 5층 일부, 6~9층",1544-8855,128.5638801,35.94217347
12030,대구광역시 중구 동성로2가 66-1 번지 (동성로 2가),1544-8855,128.5966397,35.87016408
12029,대구광역시 중구 동성로2가 66-1 번지 더락 4층,1544-8855,128.5966397,35.87016408
12022,대구광역시 북구 동천동 894-1 번지,1544-1122,128.5603302,35.9441102
12018,대구광역시 동구 용수동 50-1 번지,053-985-5080,128.6937974,35.98719389
12015,대구광역시 북구 동천동 895-2 번지 씨네피아 5~11층,1544-0070,128.5617191,35.94406446
12014,대구광역시 달서구 이곡동 1244-1 번지,1544-8855,128.5077685,35.85431023
11077,부산광역시 영도구 동삼동 19-2 번지,051-405-8745,129.091078,35.07812356
11075,부산광역시 기장군 기장읍 시랑리 287 번지,051-714-4110,129.2248194,35.20221289
11072,부산광역시 강서구 명지동 3586-4 번지 8층 9층 CGV 부산명지,1544-1122,128.9031203,35.09443696
11070,부산광역시 강서구 명지동 3432-3 번지 부산대방디엠시티 센텀오션2차 2층,02-1544-8855,128.9116633,35.09284148
11067,부산광역시 부산진구 부전동 227-2 번지 서면피에스타 11층,,129.0596058,35.15301177
11063,부산광역시 기장군 정관읍 717-6 번지 조은플러스 10층 CGV,051-717-3850,129.1783912,35.32141457
11062,부산광역시 기장군 정관읍 777-1 번지 5층,02-1544-0070,129.1783543,35.3194332
11061,부산광역시 중구 남포동5가 12-1 번지,02-1544-8855,129.0294778,35.09849922
11059,부산광역시 금정구 장전동 292-4 번지 라퓨타아일랜드,,129.0881153,35.23010859
11058,부산광역시 해운대구 우동 539-10 번지,1544-1122,129.158492,35.16297713
11057,부산광역시 금정구 부곡동 298-2 번지,1544-8855,129.0897954,35.22832139
11056,부산광역시 기장군 기장읍 당사리 64 번지 동부산 롯데몰 3층 롯데시네마 동부산,1544-8855,129.2112131,35.19355873
11055,부산광역시 중구 중앙동7가 20-1 번지 시네마동 9층,1544-8855,129.0361039,35.09799478
11054,부산광역시 중구 중앙동7가 20-1 번지 시네마동 9층,1544-8855,129.0361039,35.09799478
11053,부산광역시 사하구 하단동 526-6 번지 CGV 하단아트몰링,1544-1122,128.966369,35.1066812
11052,부산광역시 북구 덕천동 398-2 번지,1544-0070,129.0075244,35.2111692
11051,부산광역시 해운대구 우동 1467 번지,051-780-6050,129.1271914,35.17116714
11046,부산광역시 해운대구 우1동 1495 번지 신세계백화점서관 7층,1544-1122,129.1296309,35.16892183
11045,부산광역시 연제구 거제2동 1208 번지 홈플러스,1544-1122,129.0614194,35.19090452
11044,부산광역시 해운대구 우동 1495 번지 신세계백화점 서관 7층,1544-1122,129.1296309,35.16892183
11040,부산광역시 동래구 온천동 502-3 번지,1544-8855,129.0774471,35.21180226
11039,부산광역시 해운대구 우동 1496 번지 롯데백화점 8층,1544-8855,129.1310949,35.16983906
11038,부산광역시 해운대구 우동 1496 번지 롯데백화점 8층,1544-8855,129.1310949,35.16983906
11034,부산광역시 남구 대연동 73-15 번지 5층,1544-1122,129.0992624,35.13734116
11027,부산광역시 동래구 온천동 153-8 번지 SK허브스카이 6층,1544-1122,129.0855782,35.22129377
11026,부산광역시 해운대구 좌동 1467-4 번지 8층,1544-0070,129.1770474,35.17052912
11025,부산광역시 해운대구 좌동 1479-1 번지 웅신시네아트7층,1544-8855,129.1766626,35.16914572
11024,부산광역시 사상구 괘법동 533-1 번지 부산서부버스터미널 애플아울렛 본관동 4~5층,1544-0070,128.981971,35.16332653
11020,부산광역시 중구 남포동5가 18-1 번지,1544-0070,129.0287575,35.09861701
11019,부산광역시 북구 화명동 2275-1 번지 센추리빌딩,1544-1122,129.0097639,35.2347543
11009,부산광역시 부산진구 부전동 503-15 번지 롯데백화점 10층,1544-8855,129.0560024,35.15664187
11008,부산광역시 부산진구 전포동 668-1 번지 6층,1544-8855,129.063134,35.15704507
11007,부산광역시 부산진구 전포동 892-20 번지 지오플레이스 5층,1544-1122,129.0639385,35.14940209
10023,제주특별자치도 서귀포시 동홍동 1372-1 번지,02-1544-0070,126.56279,33.26164955
10022,제주도 서귀포시 안덕면 서광리 635-21 번지 신화월드 메리어트관 G층,064-908-1247,126.3249394,33.30543103
10021,제주특별자치도 제주시 연동 1454 번지 롯데시네마 제주연동(나인몰) B1F,02-1544-8855,126.4946309,33.48069435
10020,제주특별자치도 제주시 이호이동 257 번지,,126.4671612,33.49564104
10019,제주특별자치도 제주시 한림읍 887-2 번지 한림작은영화관 1층,,126.283868,33.42571209
10018,제주특별자치도 제주시 아라일동 2574 번지,,126.5358762,33.48387029
10017,제주특별자치도 제주시 삼양이동 1477-8 번지,064-755-5800,126.5882325,33.52055452
10016,제주특별자치도 제주시 노형동 1288-5 번지 노형타워 5층,,126.4783402,33.48587918
10011,제주특별자치도 제주시 이도이동 1776-3 번지 302~306호,1544-1122,126.5273371,33.50009498
10010,제주특별자치도 서귀포시 법환동 914 번지 월드컵경기장내,1544-8855,126.5090071,33.24646757
9074,전라남도 영암군 영암읍 36-30 번지,,126.7015539,34.80019392
9073,전라남도 순천시 해룡면 99 번지 순천만플라자 모다아울렛 3층,,127.5712708,34.93468336
9072,전라남도 담양군 담양읍 112-6 번지,,126.9652687,35.32450127
9071,전라남도 영광군 영광읍 87 번지 영광작은영화관,061-350-5693,126.4993885,35.26945405
9070,전라남도 곡성군 곡성읍 776-6 번지,061-363-7053,127.28955,35.27929916
9069,전라남도 함평군 함평읍 828-56 번지 함평자동차극장,,126.5226249,35.05887843
9066,전라남도 보성군 보성읍 2-27 번지,061-852-7050,127.0783454,34.76512973
9065,전라남도 해남군 해남읍 355-1 번지,061-533-7717,126.6195561,34.54166222
9064,전라남도 목포시 상동 1129-6 번지 CGV 목포평화광장,,126.4332144,34.79933147
9062,"전라남도 화순군 화순읍 88 번지 군민회관, 서양정 2층",061-373-7053,126.9854839,35.06149141
9061,전라남도 순천시 해룡면 2139 번지 CGV 순천신대,,127.5523718,34.92598028
9060,전라남도 여수시 웅천동 1720-1 번지,1544-0070,127.6789314,34.74910421
9058,전라남도 나주시 빛가람동 203-3 번지 4층,,126.7930191,35.02388876
9057,전라남도 완도군 완도읍 9-191 번지 완도문화예술의전당,,126.7415462,34.32389449
9056,전라남도 진도군 진도읍 1140 번지 진도아리랑 시네마,061-544-7790,126.2240671,34.46175171
9055,전라남도 여수시 소호동 928 번지,061-691-6263,127.6428376,34.73045804
9054,전라남도 광양시 금호동 624-24 번지 몰오브광양 2~3층,,127.7231615,34.93524871
9053,전라남도 광양시 광양읍 1834 번지 LF스퀘어 3층 가든동,,127.5921129,34.93077509
9052,전라남도 고흥군 고흥읍 914 번지,061-830-580,127.2464891,34.60944606
9051,전라남도 장흥군 장흥읍 318-2 번지 장흥국민체육센터 4층,061-862-7053,126.911006,34.66328945
9050,전라남도 여수시 웅천동 1720-3 번지 2층~8층,1544-1122,127.6787546,34.74874761
9048,전라남도 구례군 용방면 931 번지,061-783-8993,127.4129456,35.27356831
9030,전라남도 목포시 상동 860-1 번지 쇼핑천국포르모 3층,1544-0070,126.4258307,34.80730353
9029,전라남도 순천시 덕암동 151 번지 701호,1544-0070,127.5108664,34.94123935
9025,전라남도 목포시 상동 892 번지,1544-1122,126.4198636,34.80250894
9020,전라남도 순천시 장천동 54-1 번지,1544-1122,127.4863298,34.95076043
8238,전라북도 장수군 장수읍 474 번지 장수한누리전당 가람관 1층,063-353-7718,127.5062514,35.62159472
8237,전라북도 임실군 임실읍 277 번지 지하1층,,127.2869717,35.61506715
8235,전라북도 남원시 고죽동 66-3 번지 4층,063-635-3927,127.4114706,35.4257537
8234,전라북도 전주시 덕진구 송천동2가 1422 번지 파인트리몰 5~6층,02-1544-8855,127.1209406,35.86703955
8233,전라북도 전주시 덕진구 송천동2가 1329-1 번지 로마네시티 현대썬앤빌 전주 4~8층 CGV,063-253-7300,127.1245945,35.87307997
8232,전라북도 군산시 조촌동 450-21 번지,02-1544-8855,126.7385867,35.97644836
8231,전라북도 전주시 완산구 효자동3가 1531-2 번지 엠스퀘어 6층~8층,,127.1064566,35.81682394
8230,전라북도 군산시 나운동 124-4 번지,,126.7055315,35.96430133
8228,전라북도 전주시 완산구 고사동 355-1 번지,063-252-4323,127.1421042,35.82030437
8227,전라북도 전주시 완산구 고사동 355-1 번지,063-252-4323,127.1421042,35.82030437
8226,전라북도 전주시 완산구 고사동 355-1 번지,1544-1122,127.1421042,35.82030437
8225,전라북도 순창군 순창읍 471 번지 작은영화관,063-653-7057,127.1447991,35.37406603
8223,전라북도 완주군 봉동읍 881 번지,063-263-9012,127.1151615,35.98031419
8055,전라북도 진안군 진안읍 143 번지 마이골 작은영화관,,127.4231186,35.78921574
8054,전라북도 전주시 덕진구 장동 1111 번지 2층,1544-0070,127.0601371,35.83900401
8053,전라북도 전주시 완산구 고사동 181 번지 메가박스 전주객사,1544-0070,127.1437279,35.82088608
8052,전라북도 익산시 모현동1가 876 번지 4층 롯데시네마 익산모현,,126.9397275,35.94990209
8051,전라북도 전주시 완산구 효자동1가 434 번지 Mall of Hyoja 2층,1544-1122,127.115881,35.80703418
8049,전라북도 고창군 고창읍 읍내리 457 번지,063-564-1340,126.7025854,35.43166659
8048,전라북도 정읍시 수성동 525-1 번지,1544-1122,126.8495497,35.56989245
8042,전라북도 전주시 완산구 고사동 429-5 번지 전주영화제작소 4층,063-231-3377,127.1425391,35.818379
8041,전라북도 군산시 나운동 114-34 번지 롯데시네마,,126.7047407,35.96168902
8034,전라북도 전주시 완산구 평화동1가 604-1 번지,1544-8855,127.1324973,35.79622755
8022,전라북도 전주시 덕진구 송천동2가 661-15 번지 메가박스,1544-0070,127.1143438,35.86947474
8021,전라북도 익산시 영등동 149-1 번지 4층,1544-1122,126.9737618,35.95806265
8020,전라북도 전주시 완산구 서신동 971 번지 롯데백화점 7층,1544-8855,127.1217984,35.83453032
8016,전라북도 전주시 완산구 고사동 340-3 번지,063-283-7722,127.1413654,35.82027186
7095,경상남도 의령군 의령읍 712 번지,055-573-7718,128.2787018,35.32881831
7094,경상남도 함안군 가야읍 58-132 번지 함안군 작은영화관,02-2214-7718,128.4107698,35.27753115
7093,경상남도 양산시 덕계동 234-12 번지,055-912-7001,129.1574377,35.38253831
7092,경상남도 하동군 하동읍 237-13 번지 CINEQ 하동 3~4층,02-6978-5709,127.7492962,35.06922447
7091,경상남도 창원시 성산구 상남동 77-4 번지,,128.6813877,35.22272009
7090,"경상남도 진주시 충무공동 225-1 번지 어반스퀘어 4,5층",1544-1122,128.1439473,35.18061942
7089,경상남도 산청군 신안면 930-1 번지 2층,055-973-7717,127.9711636,35.30132559
7088,경상남도 고성군 고성읍 77-1 번지,055-672-6565,128.3565563,34.9488376
7087,경상남도 창원시 마산회원구 내서읍 1043-1 번지 10층,1544-0070,128.5106805,35.24902986
7086,경상남도 김해시 율하동 1347-2 번지 3층,,128.8135024,35.16999337
7085,경상남도 양산시 삼호동 1010-3 번지 6층 CGV양산삼호점,,129.1678488,35.41392223
7084,경상남도 창원시 마산합포구 월남동5가 4-1 번지 롯데시네마 프리미엄 경남대,055-1544-8855,128.559775,35.1807915
7083,경상남도 양산시 물금읍 1292 번지,1544-0070,129.0093962,35.30986784
7082,경상남도 진주시 가좌동 700-1 번지 롯데시네마 진주엠비씨네,02-1544-8855,128.1073408,35.16375402
7080,경상남도 창원시 마산합포구 해운동 68 번지 유로스퀘어 6층,1544-0070,128.5638613,35.18187069
7079,경상남도 사천시 실안동 1265 번지 아르떼 리조트 본관 4층,1544-0070,128.0375375,34.94949421
7078,경상남도 양산시 중부동 685-6 번지,1544-0070,129.0269332,35.33826929
7077,경상남도 김해시 대청동 302-5 번지 CGV 김해장유,,128.802007,35.19192819
7076,경상남도 양산시 물금읍 1269-13 번지 큐엠시네마타워 4층,1544-8855,129.0018885,35.31801656
7075,경상남도 진주시 충무공동 35 번지 진주롯데몰,02-1544-8855,128.1399268,35.18010602
7074,경상남도 합천군 합천읍 512 번지 합천시네마,055-932-7053,128.1576556,35.56761437
7073,경상남도 남해군 남해읍 760 번지 남해문화체육센터,055-862-7718,127.8973251,34.85271769
7072,경상남도 창원시 마산합포구 동성동 268 번지,070-8802-6438,128.5757625,35.20606328
7071,경상남도 사천시 사천읍 331 번지,,128.082374,35.0809256
7069,경상남도 거창군 거창읍 90-2 번지 (고센시티8층),010-6898-0806,127.9125472,35.68272059
7068,대전광역시 유성구 봉명동 1016-7 번지 센트럴프라자 5층,1544-0070,127.3446185,36.35238014
7066,경상남도 김해시 부원동 1046 번지 아이스퀘어몰 4~5층,1544-8855,128.8842157,35.22586442
7065,경상남도 김해시 신문동 1414 번지 롯데아울렛 신관 4층,1544-8855,128.8290165,35.18505397
7062,경상남도 창원시 진해구 석동 543-3 번지,1544-8855,128.6974125,35.15880005
7056,경상남도 창원시 마산회원구 합성2동 267 번지,1544-8855,128.5837114,35.23893625
7055,경상남도 통영시 무전동 986 번지,1544-8855,128.4302777,34.85915281
7052,경상남도 창원시 의창구 대원동 122 번지 더시티세븐 3층,1544-1122,128.6357507,35.30504192
7037,경상남도 거제시 장평동 1211 번지 디큐브 백화점 6층,1544-1122,128.6165885,34.8910653
7036,경상남도 창원시 성산구 중앙동 99-1 번지 메가플렉스 8층,1544-0070,128.6757205,35.22134961
7032,경상남도 창원시 마산회원구 합성동 126-4 번지 보보스존 12층(구 엠파크8),1544-1122,128.582373,35.23755651
7031,경상남도 김해시 내동 1131-4 번지 휴앤락몰 4층,1544-1122,128.8685762,35.24216452
7030,경상남도 진주시 중안동 12-13 번지 4층,1544-0070,128.0826172,35.19281994
7025,경상남도 창원시 의창구 팔용동 30-1 번지 뉴코아아울렛 9층~11층,1544-1122,128.6419966,35.23459691
7020,경상남도 밀양시 내이동 1565-16 번지,055-356-3606,128.7461835,35.49927883
7012,경상남도 창원시 성산구 상남동 79 번지,1544-8855,128.6819142,35.22454166
6090,경상북도 성주군 성주읍 597-2 번지 3층,054-932-7717,128.271054,35.90674809
6089,"경상북도 포항시 남구 상도동 582 번지 7, 8층",1544-0070,129.3489088,36.01273127
6088,경상북도 영천시 완산동 1402 번지 고은스퀘어 2층 롯데시네마 영천,054-337-0740,128.9407931,35.96304303
6087,경상북도 울진군 후포면 857-8 번지 엠시네마 자동차극장,054-788-7800,129.4432701,36.69383377
6086,경상북도 경주시 황성동 800-22 번지,02-1544-8855,129.2181328,35.88079953
6085,경상북도 의성군 의성읍 508-1 번지 1층,054-833-7718,128.6966333,36.35337679
6084,경상북도 상주시 서문동 140-2 번지,,128.1543916,36.41607137
6083,경상북도 예천군 호명면 산합리 1430 번지 3층,1544-0070,128.4929243,36.57540966
6082,경상북도 칠곡군 석적읍 608 번지 칠곡호이영화관 및 청소년문화의 집,054-977-7053,128.4271537,36.07458983
6081,경상북도 경산시 중방동 897 번지 2층 CGV극장,053-812-8970,128.7367096,35.83305761
6080,경상북도 울진군 울진읍 77-2 번지 울진군청별관,054-782-7717,129.4000965,36.99224377
6079,경상북도 구미시 원평동 147-9 번지 5층 롯데시네마 사무실,1544-8855,128.3347477,36.12910896
6077,경상북도 영주시 구성로 417,054-634-3000,128.6177743,36.82725022
6076,경상북도 구미시 봉곡동 36 번지 4층,1544-1533,128.3151981,36.13827027
6075,경상북도 포항시 남구 오천읍 1134 번지,1544-0070,129.4034333,35.97450123
6074,경상북도 영천시 완산동 982-34 번지 영철공설시장 2층 202호,054-338-7053,128.937584,35.96384665
6073,경상북도 경주시 신평동 150-10 번지 2-4층,1544-1533,129.2912385,35.83942772
6071,경상북도 포항시 북구 덕산동 113-12 번지 포항시립중앙아트홀 2층,054-289-7921,129.3673331,36.04095398
6070,경상북도 경산시 하양읍 607 번지,053-782-7458,128.7978298,35.89975341
6069,경상북도 김천시 율곡동 1123 번지 더스퀘어 3층,,128.1834378,36.11487309
6068,경상북도 영양군 영양읍 2-15 번지 영양문화원 2층,054-683-7053,129.1175713,36.66347351
6066,경상북도 고령군 대가야읍 471-1 번지 대가야역사테마관광지 내,054-954-7053,128.2609455,35.71876025
6065,경상북도 문경시 모전동 859-2 번지 홈플러스 1층,1544-0070,128.1902747,36.58731142
6064,경상북도 구미시 진평동 1023-2 번지 시네마월드 7층,1544-0070,128.4179313,36.10712599
6062,경상북도 경주시 노동동 73-2 번지 2층,1544-8855,129.2132461,35.84160483
6057,경상북도 안동시 용상동 1426-1 번지 CGV 안동 3층,1544-1122,128.7493636,36.56113279
6043,경상북도 구미시 원평동 68-1 번지,1544-1122,128.3275637,36.13008209
6039,경상북도 김천시 평화동 245-82 번지 한일빌딩 4층,1544-0070,128.1107609,36.12523636
6038,"경상북도 구미시 공단동 253-2 번지 4층일부,5~7층전체",1544-8855,128.3849773,36.10425578
6036,경상북도 포항시 북구 대흥동 563-3 번지 3층~9층,1544-8855,129.3629629,36.03662777
6035,경상북도 안동시 옥동 734 번지 A동 401/501호 (옥동 테마프라자),1544-8855,128.6999962,36.56622875
6030,경상북도 포항시 북구 덕산동 235-4 번지,1544-1122,129.3681865,36.04075149
6020,경상북도 영주시 영주동 377-18 번지,054-634-8855,128.6242519,36.82382659
6019,경상북도 안동시 삼산동 140-5 번지 3층,054-854-5500,128.7308001,36.56513062
6006,경상북도 경주시 노동동 55-1 번지,1544-0070,129.2128332,35.8416491
5074,충청남도 천안시 동남구 성남면 188-6 번지,041-555-4895,127.2622731,36.7565928
5073,"충청남도 아산시 온천동 79-1 번지 아산시네파크 CGV아산 5,6층",1544-1122,127.0084551,36.78023829
5072,충청남도 천안시 동남구 청당동 547 번지 롯데시네마,1544-8855,127.1560995,36.78304383
5071,충남 천안시 서북구 불당21로 67-8 (불당동) 7층,1544-8855,127.1082647,36.81326947
5070,"충청남도 천안시 서북구 불당동 1485 번지 센트에비뉴 2층,3층, 4층",041-569-0728,127.1101017,36.81913121
5068,"충청남도 당진시 수청동 1041 번지 7,8,9층",070-1811-7707,126.64669,36.88723197
5067,충청남도 천안시 서북구 불당동 1616 번지 지앤지홀딩스타워 5~8층,070-5038-4565,127.1074796,36.81252806
5066,충청남도 논산시 내동 452 번지 CGV타워 3층,,127.0975176,36.18308496
